* T-Spice 13.00 Simulation	Fri Sep 06 19:25:17 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_7T.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_7T.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_7T.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 12                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 3       
*   Independent nodes - 53                   Boundary nodes - 5       
*         Total nodes - 58      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-009   3e-006
TRANSIENT ANALYSIS
Time<s>           v(PC)<V>     v(BL)<V>     v(WL)<V>      v(Q)<V>     v(QB)<V>
 3.472413e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.0388e-001  8.2718e-002
 3.512413e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.8044e-001  8.8612e-002
 3.552413e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.6583e-001  9.2206e-002
 3.592413e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.5535e-001  9.3576e-002
 3.600000e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.5375e-001  9.3906e-002
 3.605000e-007  2.0000e-001  0.0000e+000  2.0000e-001  1.5184e-001  9.7522e-002
 3.610000e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.2127e-002  1.2779e-001
 3.612500e-007  0.0000e+000  0.0000e+000  4.0000e-001  3.1440e-002  1.4640e-001
 3.613750e-007  0.0000e+000  0.0000e+000  4.0000e-001  2.4471e-002  1.5772e-001
 3.626250e-007  0.0000e+000  0.0000e+000  4.0000e-001  2.7087e-003  2.8772e-001
 3.647087e-007  0.0000e+000  0.0000e+000  4.0000e-001  8.6550e-003  3.6647e-001
 3.657506e-007  0.0000e+000  0.0000e+000  4.0000e-001  3.6276e-003  3.6481e-001
 3.697506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.9555e-003  3.7051e-001
 3.737506e-007  0.0000e+000  0.0000e+000  4.0000e-001  3.9599e-003  3.6724e-001
 3.777506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.6129e-003  3.6959e-001
 3.817506e-007  0.0000e+000  0.0000e+000  4.0000e-001  4.2710e-003  3.6771e-001
 3.857506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.3534e-003  3.6926e-001
 3.897506e-007  0.0000e+000  0.0000e+000  4.0000e-001  4.4856e-003  3.6796e-001
 3.937506e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.1782e-003  3.6905e-001
 3.977506e-007  0.0000e+000  0.0000e+000  4.0000e-001  4.6288e-003  3.6813e-001
 3.999999e-007  0.0000e+000  0.0000e+000  4.0000e-001  5.0285e-003  3.6886e-001
 4.004999e-007  0.0000e+000  2.0000e-001  2.0000e-001  4.1122e-003  3.6733e-001
 4.007499e-007  0.0000e+000  3.0000e-001  1.0000e-001  6.0800e-003  3.6758e-001
 4.010000e-007  0.0000e+000  4.0000e-001  2.1205e-014  7.5350e-003  3.6761e-001
 4.014751e-007  0.0000e+000  4.0000e-001  0.0000e+000  9.1354e-003  3.6832e-001
 4.017127e-007  0.0000e+000  4.0000e-001  0.0000e+000  9.6018e-003  3.6850e-001
 4.039725e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0647e-002  3.6861e-001
 4.051024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0229e-002  3.6836e-001
 4.091024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0395e-002  3.6844e-001
 4.111024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0290e-002  3.6838e-001
 4.151024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0352e-002  3.6842e-001
 4.191024e-007  0.0000e+000  4.0000e-001  0.0000e+000  1.0307e-002  3.6839e-001
