* T-Spice 13.00 Simulation	Fri Sep 06 19:03:46 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 8                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 2       
*   Independent nodes - 35                   Boundary nodes - 4       
*         Total nodes - 39      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-009   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>     v(BL)<V>     v(QB)<V>      v(Q)<V>
 2.511025e-007  0.0000e+000  4.0000e-001  3.8818e-001  9.9628e-003
 2.551025e-007  0.0000e+000  4.0000e-001  3.8823e-001  1.0022e-002
 2.591025e-007  0.0000e+000  4.0000e-001  3.8819e-001  9.9741e-003
 2.600000e-007  2.6470e-015  4.0000e-001  3.8821e-001  1.0003e-002
 2.605000e-007  2.0000e-001  4.0000e-001  3.8874e-001  1.1047e-002
 2.610000e-007  4.0000e-001  4.0000e-001  3.6341e-001  3.6277e-002
 2.612500e-007  4.0000e-001  4.0000e-001  3.4845e-001  4.4788e-002
 2.637500e-007  4.0000e-001  4.0000e-001  4.6436e-002  3.2391e-001
 2.650000e-007  4.0000e-001  4.0000e-001  9.5009e-003  3.8508e-001
 2.656250e-007  4.0000e-001  4.0000e-001  8.5255e-003  3.8773e-001
 2.696250e-007  4.0000e-001  4.0000e-001  7.6121e-003  3.8915e-001
 2.736250e-007  4.0000e-001  4.0000e-001  8.2699e-003  3.8839e-001
 2.776250e-007  4.0000e-001  4.0000e-001  7.7587e-003  3.8877e-001
 2.800000e-007  4.0000e-001  4.0000e-001  8.1561e-003  3.8865e-001
 2.805000e-007  2.0000e-001  2.0000e-001  4.5883e-003  3.8701e-001
 2.810000e-007  0.0000e+000  0.0000e+000  7.2874e-003  3.8740e-001
 2.815000e-007  0.0000e+000  0.0000e+000  9.0297e-003  3.8818e-001
 2.817500e-007  0.0000e+000  0.0000e+000  9.4684e-003  3.8831e-001
 2.842500e-007  0.0000e+000  0.0000e+000  1.0288e-002  3.8825e-001
 2.882500e-007  0.0000e+000  0.0000e+000  9.7817e-003  3.8814e-001
 2.922500e-007  0.0000e+000  0.0000e+000  1.0155e-002  3.8828e-001
 2.962499e-007  0.0000e+000  0.0000e+000  9.8731e-003  3.8814e-001
 3.000000e-007  0.0000e+000  0.0000e+000  1.0088e-002  3.8826e-001
 3.005000e-007  2.0000e-001  0.0000e+000  1.1070e-002  3.8871e-001
 3.010000e-007  4.0000e-001  0.0000e+000  4.0556e-002  3.2400e-001
 3.012500e-007  4.0000e-001  0.0000e+000  5.5387e-002  2.7358e-001
 3.034812e-007  4.0000e-001  0.0000e+000  3.3304e-001  2.3569e-002
 3.045968e-007  4.0000e-001  0.0000e+000  3.8777e-001  3.1668e-003
 3.051547e-007  4.0000e-001  0.0000e+000  3.8919e-001  5.9731e-003
 3.091547e-007  4.0000e-001  0.0000e+000  3.8813e-001  4.7051e-003
 3.131547e-007  4.0000e-001  0.0000e+000  3.8900e-001  5.8331e-003
 3.171547e-007  4.0000e-001  0.0000e+000  3.8827e-001  4.8340e-003
 3.200000e-007  4.0000e-001  0.0000e+000  3.8887e-001  5.6894e-003
 3.205000e-007  2.0000e-001  0.0000e+000  3.8764e-001  4.5713e-003
 3.210000e-007  0.0000e+000  0.0000e+000  3.8770e-001  7.2520e-003
 3.215000e-007  0.0000e+000  0.0000e+000  3.8833e-001  8.9827e-003
 3.255000e-007  0.0000e+000  0.0000e+000  3.8827e-001  9.9000e-003
 3.295000e-007  0.0000e+000  0.0000e+000  3.8819e-001  1.0043e-002
 3.335000e-007  0.0000e+000  0.0000e+000  3.8822e-001  9.9524e-003
 3.375000e-007  0.0000e+000  0.0000e+000  3.8821e-001  1.0014e-002
 3.400000e-007  0.0000e+000  1.0588e-014  3.8821e-001  9.9742e-003
 3.405000e-007  0.0000e+000  2.0000e-001  3.8821e-001  9.9872e-003
 3.410000e-007  0.0000e+000  4.0000e-001  3.8821e-001  9.9916e-003
 3.412500e-007  0.0000e+000  4.0000e-001  3.8821e-001  9.9926e-003
 3.413750e-007  0.0000e+000  4.0000e-001  3.8821e-001  9.9929e-003
